timestamp,username,date,coordinates,keywords,reflections
3/16/2021 22:58:32,akeijimo,3/16/2021,"1, -5","fatigue, bored, distracted, lost/disoriented, nostalgiac","It wasn't a bad day, but I just felt really bored all day and kind of disoriented because of daylight savings time. I did get to listen to some music I hadn't listened to in months."
3/18/2021 10:04:57,akeijimo,3/17/2021,"0, 5","Fatigue, restless, numb",I wasn't exactly in a bad or good mood but I was just uncomfortable for most of the day.
3/19/2021 0:20:14,akeijimo,3/18/2021,"-3, -4","Restless, numb, grumpy, irritable",I had a headache throughout the day.
3/20/2021 13:18:27,akeijimo,3/19/2021,"-1, 5","Restless, distracted, short-tempered",I had headaches throughout the day again.
3/21/2021 22:56:44,akeijimo,3/20/2021,"-3, -3","thoughtful, worried, tense and tired",I had yet again another awful headache. I felt better after taking medication but I still felt pretty depressed afterwards.
3/21/2021 22:59:38,akeijimo,3/21/2021,"2, 3","Excited, tense, a little anxious, elated","I went out to eat today and felt pretty exited about it. If citrus could be a mood, then that's the best word to describe the way I felt today."
3/22/2021 22:55:45,akeijimo,3/22/2021,"3, -2","calm, focused, jumpy, content",I felt very productive today. I accomplished everything I needed to do for today.
3/24/2021 0:56:01,akeijimo,3/23/2021,"5, -3","nostalgic, sentimental, at ease, glad","I had a pretty good day today. Aside from getting work done, I felt pretty nostalgic and for once felt pretty at ease in comparison to the last few weeks."
3/24/2021 20:37:08,akeijimo,3/24/2021,"-2, -1","nostalgic, gloomy, feeling like something is missing, regret, lamentable","Even though it's been an average day so far, I was very thoughtful today -- reflecting on the past and about ""what could have been if...""."
3/25/2021 22:11:33,akeijimo,3/25/2021,"3, -3","concentrated, calm, unfathomed",
3/26/2021 22:32:22,akeijimo,3/26/2021,"-4, -3","Moody, bleak, kind of ""numb"", hopeless/demoralized","Thus far  being 9:31 PM right now), I've done nothing all day other than think about the documentary I watched earlier today. I also didn't eat anything today so it's been pretty rough. I've been especially tired of school work."
3/30/2021 0:08:17,akeijimo,3/28/2021,"-2, -5","tense, exhausted, worried",
3/28/2021 1:21:16,akeijimo,3/28/2021,"4, -3","Serene, lull, at ease, refreshed.",I went outside for the first time in a long time. Felt refreshed.
3/30/2021 0:11:22,akeijimo,3/29/2021,"2, 4","attentive, concentrated",I dedicated this day to focusing on my school work -- unlike slacking off like I did last week.
4/1/2021 12:41:10,akeijimo,3/30/2021,"-4, -2","Relaxed, at ease, productive, enthusiastic",It was a pretty chill day. Having a good schedule keeps me from feeling anxious or overwhelmed
4/1/2021 12:43:17,akeijimo,3/31/2021,"3, -4","At ease, a littel tired, reflective, excited","Spent family time, watched a movie, and had my work done very early today."
4/1/2021 22:09:15,akeijimo,4/1/2021,"-3, -5","sleepy, tired, reflective, irritable",I didn't get much sleep last night and had a huge headache all day.
4/3/2021 9:58:39,akeijimo,4/2/2021,"3, 1","reflective, energetic, composed, happy, concentrated",I made it through a pretty busy week and I spent my Friday trying to still push forward.
4/3/2021 22:40:02,akeijimo,4/3/2021,"5, 1","happy, excited, energetic","I met my friend for the first time in three years today. Though I didn't listen to a lot of music, I did listen to some music that made me happy."
3/7/2021 6:43:10,akerblomman,3/6/2021,"-1, -2","relaxed, empty",
3/7/2021 17:02:18,akerblomman,3/7/2021,"-1, 4","productive, anxious",
3/9/2021 9:20:17,akerblomman,3/8/2021,"2, 2","energetic, productive",
3/9/2021 9:19:08,akerblomman,3/9/2021,"2, 2","energetic, productive",
3/10/2021 17:33:23,akerblomman,3/9/2021,"-2, -2","empty, tired",
3/10/2021 17:34:45,akerblomman,3/10/2021,"1, 2","productive, positive",
3/12/2021 10:38:25,akerblomman,3/11/2021,"-2, -2","tired, uninspired",
3/12/2021 19:20:53,akerblomman,3/12/2021,"-1, 3","anxious, positive",
3/14/2021 18:33:09,akerblomman,3/14/2021,"-3, -3","empty, bored",
3/16/2021 6:45:05,akerblomman,3/15/2021,"-2, 1","bored, period pains",
3/17/2021 7:55:39,akerblomman,3/16/2021,"1, 3","excited, happy",
3/18/2021 6:32:59,akerblomman,3/17/2021,"1, 3","alert, energetic",
3/18/2021 21:29:02,akerblomman,3/18/2021,"2, 3","alert, productive",
3/20/2021 6:48:28,akerblomman,3/19/2021,"2, -3","tired, content",
3/20/2021 21:46:29,akerblomman,3/20/2021,"1, 2","content, bored",
3/23/2021 18:01:07,akerblomman,3/22/2021,"-2, -4","tired, anxious",
3/23/2021 18:02:05,akerblomman,3/23/2021,"2, -4","tired, relaxed",
3/26/2021 8:59:52,akerblomman,3/25/2021,"-4, -1","uninspired, tired",
3/27/2021 19:53:41,akerblomman,3/26/2021,"-4, -2","sick, tired",
3/27/2021 19:54:57,akerblomman,3/27/2021,"-1, 2","sick, inspired",
3/29/2021 12:46:49,akerblomman,3/28/2021,".3, -3","sick, tired",
3/31/2021 19:04:05,akerblomman,3/30/2021,"-2, -4","tired, borded",
3/31/2021 19:04:49,akerblomman,3/31/2021,"1, -3","tired, inspired",
4/3/2021 19:59:21,akerblomman,4/2/2021,"2, -4","tired, relaxed",
4/3/2021 20:00:18,akerblomman,4/3/2021,"2, 3","motivated, content",
3/7/2021 6:55:42,carafo_,3/6/2021,"0, -4.5","calm, relaxed, bored, tired, sad",
3/7/2021 17:28:30,carafo_,3/7/2021,"2, -4","relaxed, calm, okay",
3/9/2021 16:28:16,carafo_,3/8/2021,"2, -4","calm, relaxed, sad","quite relaxed during the day then -4, -2 sadder closer to the evening"
3/9/2021 16:32:51,carafo_,3/9/2021,"-1, -1","sad, content, calm, happy, relaxed, excited, alert",
3/11/2021 16:28:56,carafo_,3/10/2021,"1, -1","content, happy, alert, relaxed, calm, tired, bored, stressed, sad",more positive during the day then becoming more tired late the afternoon/evening
3/12/2021 12:25:47,carafo_,3/11/2021,"-3, 1","calm, relaxed, tired, sad, stressed, upset",
3/12/2021 18:59:33,carafo_,3/12/2021,"-5, -1","sad, depressed, upset, nervous, stressed, calm",
3/13/2021 17:18:07,carafo_,3/13/2021,"2, -5","calm, relaxed",
3/14/2021 19:09:31,carafo_,3/14/2021,"3, -4","calm, content, relaxed, tired",
3/15/2021 19:26:28,carafo_,3/15/2021,"3, -5","relaxed, calm, tired",
3/16/2021 18:22:58,carafo_,3/16/2021,"0, -5","relaxed, calm, then later the afternoon - tired",
3/17/2021 19:34:04,carafo_,3/17/2021,"-1, -5","relaxed, calm, stressed, tired",
3/18/2021 19:55:40,carafo_,3/18/2021,"3, -4","calm, relaxed, tired in the afternoon, excited",
3/19/2021 19:23:30,carafo_,3/19/2021,"3, -2","excited, content, relaxed, stressed, calm, excited,",
3/20/2021 19:43:29,carafo_,3/20/2021,"2, -1","content, calm, relaxed",
3/21/2021 19:41:43,carafo_,3/21/2021,"3, -1","content, relaxed, calm, tired",
3/22/2021 19:53:04,carafo_,3/22/2021,"3, 0","content, alert, calm, relaxed, tired in the evenings",
3/23/2021 19:45:37,carafo_,3/23/2021,"3, -4","content, relaxed, calm, alert, stressed, bored",
3/26/2021 18:44:28,carafo_,3/24/2021,"-4, 0","sad, upset, depressed, nervous, stressed, tired",had a friend add me to a 150bpm collaborative playlist  spielbregs - sweet robots against the machine) in the afternoon to change the mood
3/26/2021 18:51:50,carafo_,3/25/2021,"1, -1","content, alert, relaxed. later the afternoon more stressed and nervous",tried to stay alert in the late afternoon/evening to finish coursework
3/26/2021 21:32:52,carafo_,3/26/2021,"1, -1","content, stressed, calm, relaxed, tired",
3/28/2021 20:19:19,carafo_,3/28/2021,"2, -1","content, relaxed, calm",
3/29/2021 20:01:29,carafo_,3/29/2021,"2, -1","content, calm, relaxed, tired later in the evening",
3/30/2021 18:50:40,carafo_,3/30/2021,"2, -2","content, calm, relaxed, tired",
4/2/2021 14:31:38,carafo_,4/1/2021,"2, -1","content, calm, relaxed, bored, tired",
4/2/2021 19:13:56,carafo_,4/2/2021,"3, -1","content, alert, calm, relaxed, then later in the evening tired",
4/3/2021 19:03:16,carafo_,4/3/2021,"3, 0","content, calm, alert, relaxed",
3/7/2021 7:04:30,chehenry,3/6/2021,"-4, -2","bored, upset, annoyed,",
3/7/2021 7:06:22,chehenry,3/7/2021,"0, -3","calm, bored, apathetic",
3/8/2021 13:00:38,chehenry,3/8/2021,"1, 1","content, calm, chilled",
3/10/2021 6:36:48,chehenry,3/9/2021,"0, 0",bored,"Just feel ""Meh"""
3/12/2021 6:22:12,chehenry,3/11/2021,"4, 0","content, untroubled, cheery",
3/12/2021 6:22:56,chehenry,3/12/2021,"1, 1","neutral, pleasent, calm",
3/13/2021 7:48:12,chehenry,3/13/2021,"-3, 5","tense, angry, frustrated, irritated, annoyed, upset",
3/14/2021 16:06:38,chehenry,3/14/2021,"1, 1","content, bored, tired",
3/15/2021 15:50:29,chehenry,3/15/2021,"1, -1","content, bored, tired",
3/16/2021 5:53:38,chehenry,3/16/2021,"-5, -3","tired, bored, exhausted, sleepy",
3/17/2021 8:08:08,chehenry,3/17/2021,"2, 1","content, tired, sleepy",
3/18/2021 12:57:34,chehenry,3/18/2021,"2, 3","focused, alert, calm",
3/19/2021 18:46:04,chehenry,3/19/2021,"0, 4","happy, tired, hot",
3/21/2021 12:19:52,chehenry,3/21/2021,"3, 3","pleasent, happy",
3/23/2021 6:34:43,chehenry,3/22/2021,"0, 0",neutral,
3/23/2021 6:35:31,chehenry,3/23/2021,"0, -2","calm, relaxed",
3/24/2021 12:04:40,chehenry,3/24/2021,"-3, -3","tired, miserable, bored",
3/25/2021 11:56:05,chehenry,3/25/2021,"1, 2","neutral, content",
3/27/2021 7:47:17,chehenry,3/26/2021,"0, 0",neutral,
3/27/2021 7:47:38,chehenry,3/27/2021,"4, 1",happy,
3/28/2021 8:58:52,chehenry,3/28/2021,"0, 1",neutral,
3/29/2021 11:12:32,chehenry,3/29/2021,"2, 1",happy,
3/30/2021 10:29:56,chehenry,3/30/2021,"3, 2","happy, cheery",
3/31/2021 11:24:09,chehenry,3/31/2021,"4, 4","happy, joyful",
4/1/2021 10:20:36,chehenry,4/1/2021,"-1, 0",tired,
4/2/2021 7:07:32,chehenry,4/2/2021,"-2, -2",dissapointed,
3/7/2021 16:37:38,chinaskixx,3/6/2021,"-1, -3","Tired, Self-concious",I had a headache that day and was very unproductive which affected my mood
3/7/2021 18:13:59,chinaskixx,3/7/2021,"-1, -3","Tired, Unmotivated, Moody",
3/8/2021 17:40:02,chinaskixx,3/8/2021,"3, -1","Content, at ease",
3/10/2021 2:20:58,chinaskixx,3/9/2021,"-1, 2","Tense, Anxious",
3/14/2021 18:36:54,chinaskixx,3/10/2021,"-2, 4","nervous, tense, anxious, stressed",
3/18/2021 11:38:35,chinaskixx,3/11/2021,"-1, 4","stressed, restless",
3/13/2021 2:36:21,chinaskixx,3/12/2021,"3, 1","happy, not worrying",Was very productive and felt good because of that
3/14/2021 3:42:49,chinaskixx,3/13/2021,"2, 2","happy, excited",
3/14/2021 18:57:14,chinaskixx,3/14/2021,"3, -1","Content, Relaxed, Chilled",
3/18/2021 11:40:19,chinaskixx,3/15/2021,"2, -1","Calm, Content, Happy",
3/18/2021 11:40:20,chinaskixx,3/16/2021,"1, -2","Content, slightly tired but happy",
3/17/2021 19:29:48,chinaskixx,3/17/2021,"3, 3","happy, excited",
3/18/2021 19:32:54,chinaskixx,3/18/2021,"2, -1","Content, not worried, calm",
3/20/2021 4:52:33,chinaskixx,3/19/2021,"4, 1","happy, excited, grateful",
3/23/2021 9:10:35,chinaskixx,3/22/2021,"2, -1","content, calm",
3/24/2021 6:47:21,chinaskixx,3/23/2021,"0, -2","neutral, tired, calm",
3/26/2021 3:56:23,chinaskixx,3/24/2021,"-3, 1","anxious, stressed",
3/27/2021 3:29:39,chinaskixx,3/26/2021,"2, 2","happy, elated)",
3/28/2021 16:28:09,chinaskixx,3/27/2021,"1, 1",Happy,
3/28/2021 16:28:46,chinaskixx,3/28/2021,"1, 4","happy, alert",
3/30/2021 3:44:22,chinaskixx,3/29/2021,"4, 3","happy, excited, motivated",
3/31/2021 10:05:59,chinaskixx,3/30/2021,"-3, -1","sad, down",
4/1/2021 2:50:08,chinaskixx,3/31/2021,"3, -1","content, relaxed",
4/3/2021 7:18:44,chinaskixx,4/2/2021,1. 1,"happy, motivated",
4/4/2021 16:46:16,chinaskixx,4/4/2021,"-3, -2","tired, sad",
3/4/2021 22:52:35,chrlee1423,3/4/2021,"4, 3",Excited,
3/5/2021 20:01:56,chrlee1423,3/5/2021,"1, 5",Alert,
3/6/2021 23:05:59,chrlee1423,3/6/2021,"-3, -5",Tired,
3/6/2021 1:30:03,chrlee1423,3/6/2021,"1, 2",Happy,
3/7/2021 22:52:34,chrlee1423,3/7/2021,"4, 4",Excited,I realized I might have put my bday for today’s date on some entries lel I’m sorry !!!!
3/8/2021 20:42:38,chrlee1423,3/8/2021,"3, -4",Calm,
3/11/2021 10:45:24,chrlee1423,3/11/2021,"3, -3",Relaxed,
3/12/2021 1:28:28,chrlee1423,3/11/2021,"5, -1",Pleasant,
3/14/2021 15:01:59,chrlee1423,3/13/2021,"5, 1",Happy,
3/16/2021 17:36:04,chrlee1423,3/16/2021,"3, 4",Alert,
3/30/2021 1:20:18,chrlee1423,3/16/2021,"3, 4",Alert,
3/18/2021 19:05:29,chrlee1423,3/18/2021,"5, 1",Happy,
3/24/2021 21:07:07,chrlee1423,3/24/2021,"5, -1",Content,
3/26/2021 19:10:49,chrlee1423,3/26/2021,"4, 4",Excited,
3/26/2021 23:23:35,chrlee1423,3/26/2021,"4, 4",Excited,
3/30/2021 15:22:14,chrlee1423,3/30/2021,"4, -4",Relaxed,
3/31/2021 20:07:01,chrlee1423,3/31/2021,"5, 1",Happy,
4/1/2021 23:37:35,chrlee1423,4/1/2021,"4, 4",Excited,
3/3/2021 23:07:20,cleopatra309,3/3/2021,"-1, 5","Tense, alert, nervous, excited",I had some large news come my way today which affected my baseline mood for sure!
3/6/2021 23:30:04,cleopatra309,3/6/2021,"5, 1","Happy, excited, content",
3/7/2021 8:42:57,cleopatra309,3/7/2021,"5, 1","Happy, excited, content",
3/8/2021 22:48:58,cleopatra309,3/8/2021,"4, 4","Excited, happy",
3/9/2021 23:02:04,cleopatra309,3/9/2021,"5, -1","Content, happy, calm, serene",
3/11/2021 7:52:41,cleopatra309,3/10/2021,"-4, 3","Stressed, tense, anxious, displeased",
3/12/2021 9:10:35,cleopatra309,3/11/2021,"-4, -1","Relaxed, tired, sluggish",
3/12/2021 21:38:12,cleopatra309,3/12/2021,"5, 4","Excited, joyful, happy",
3/14/2021 9:32:26,cleopatra309,3/13/2021,"-1, 5","Tense, nervous, anticipatory, unrelaxed",
3/14/2021 19:06:33,cleopatra309,3/14/2021,"2, -5","Calm, sluggish, solitary",
3/16/2021 8:03:02,cleopatra309,3/15/2021,"1, 4","Jittery, active, energized",
3/16/2021 23:10:40,cleopatra309,3/16/2021,"6, 3","Elated, joyful, satisfied, excited",
3/17/2021 22:13:56,cleopatra309,3/17/2021,"3, 1","Happy, optimistic, attentive",
3/18/2021 20:16:50,cleopatra309,3/18/2021,"5, 4","Happy, overjoyed, excited",
3/19/2021 21:03:04,cleopatra309,3/19/2021,"4, -2","Happy, content, satisfied, relieved",
3/20/2021 20:37:09,cleopatra309,3/20/2021,"4, -1","Happy, content, relaxed",Got my first dose of the vaccine today!!
3/21/2021 21:42:37,cleopatra309,3/21/2021,"5, 1","Productive, happy, energetic",
3/22/2021 19:12:23,cleopatra309,3/22/2021,"5, 3","Happy, relieved, excited",My partner got his first vaccine dose today!!
3/23/2021 20:21:00,cleopatra309,3/23/2021,"-3, -4","Tired, lethargic, sleepy, unproductive",
3/24/2021 21:59:53,cleopatra309,3/24/2021,"3, 1","Happy, productive, somewhat tired",
3/25/2021 20:00:47,cleopatra309,3/25/2021,"2, 2","Content, productive",
3/26/2021 20:48:22,cleopatra309,3/26/2021,"5, 1","Excited, elated, happy, tired",Favorite band released new music!!
3/28/2021 12:56:15,cleopatra309,3/27/2021,"5, -3","Relaxed, happy, content",
3/28/2021 20:04:39,cleopatra309,3/28/2021,"5, -3","Content, happy, tired, relaxed",
3/29/2021 19:35:50,cleopatra309,3/29/2021,"-2, 1","Jumpy, stressed",
3/30/2021 21:55:42,cleopatra309,3/30/2021,"-2, -3","Tired, uncomfortable, stressed",
4/1/2021 19:48:11,cleopatra309,4/1/2021,"-3, 3","Nervous, stressed, anxious, restless",
3/6/2021 23:48:27,cosmiccloudbird,3/6/2021,"3, -4",Calm,
3/8/2021 0:38:34,cosmiccloudbird,3/7/2021,"-1, 2",mildly stressed,
3/8/2021 23:05:42,cosmiccloudbird,3/8/2021,"0, 0",Neutral,
3/10/2021 0:01:34,cosmiccloudbird,3/9/2021,"2, 2",Happy,
3/10/2021 22:49:26,cosmiccloudbird,3/10/2021,"-1, -4",Tired,
3/11/2021 22:26:06,cosmiccloudbird,3/11/2021,"-2, -4",Tired,
3/12/2021 22:42:11,cosmiccloudbird,3/12/2021,"1, 2",Somewhat happy,
3/14/2021 9:58:15,cosmiccloudbird,3/13/2021,"2, 2",Happy,
3/14/2021 23:29:32,cosmiccloudbird,3/14/2021,"3, 2",happy,
3/16/2021 6:38:41,cosmiccloudbird,3/15/2021,"-1, 2",Slightly stressed,
3/16/2021 20:08:46,cosmiccloudbird,3/16/2021,"-2, -5","Tired, unhappy",
3/18/2021 1:00:40,cosmiccloudbird,3/17/2021,"-1, -1",Somewhat tired,
3/18/2021 22:51:27,cosmiccloudbird,3/18/2021,"-1, -3",Tired,
3/19/2021 22:41:07,cosmiccloudbird,3/19/2021,"-3, -2",somewhat depressed,
3/20/2021 21:23:39,cosmiccloudbird,3/20/2021,"0, -5","Tired, calm",
3/21/2021 23:02:12,cosmiccloudbird,3/21/2021,"-1, 3",A little stressed,
3/23/2021 9:16:06,cosmiccloudbird,3/22/2021,"-4, 3",Stressed,
3/23/2021 20:57:03,cosmiccloudbird,3/23/2021,"-1, 3",A little stressed,
3/25/2021 9:59:08,cosmiccloudbird,3/24/2021,"0, 0",Neutral,
3/26/2021 10:53:03,cosmiccloudbird,3/25/2021,"-3, -1","Unhappy, stressed",
3/27/2021 10:45:36,cosmiccloudbird,3/26/2021,"3, -1",Somewhat happy,
3/27/2021 22:57:37,cosmiccloudbird,3/27/2021,"-1, -4",Slightly bored,
3/29/2021 13:17:22,cosmiccloudbird,3/28/2021,"-3, -4",Bored,
3/30/2021 12:28:28,cosmiccloudbird,3/29/2021,"1, 1",Slightly happy,
3/31/2021 17:15:51,cosmiccloudbird,3/30/2021,"-3, -2","Bored, slightly sad",
4/1/2021 9:39:37,cosmiccloudbird,3/31/2021,"-1, -4",Slightly bored,
4/2/2021 11:11:33,cosmiccloudbird,4/1/2021,"1, 4",Somewhat excited,
3/7/2021 0:32:14,darkwingduckie7,3/6/2021,"3, 1","content, proud, slightly tired","good, productive day and the puppy actually listened"
3/8/2021 8:36:14,darkwingduckie7,3/7/2021,"4, 2","relaxed, energized",spent the day with dog hiking
3/9/2021 8:54:31,darkwingduckie7,3/8/2021,"-3, 2","stressed, tired, double stressed","the puppy threw up, it was like a scene from the Exorcist, a vet trip later, some meds, and lots of $$ he should be okay now"
3/10/2021 8:36:28,darkwingduckie7,3/9/2021,"-1, 4",nervous,just general nervousness
3/11/2021 9:06:03,darkwingduckie7,3/10/2021,"1, 1",content,"typical workday, slowly busy not stressful and a good puppy class in the evening"
3/12/2021 11:56:18,darkwingduckie7,3/11/2021,"-1, -1",sad,just feeling a bit sad for no reason
3/12/2021 23:39:58,darkwingduckie7,3/12/2021,"0, 3","stressed, content","Stressed because my groomer made it known to me that my pup may have a medical issue but I am content by the end of the day because I have an action plan, fingers crossed"
3/15/2021 11:36:36,darkwingduckie7,3/14/2021,"3, -3",serene,day spent outside
3/15/2021 22:31:33,darkwingduckie7,3/15/2021,"4, 1","relaxed, happy",
3/17/2021 8:55:17,darkwingduckie7,3/16/2021,"4, 4",excited,Puppy did so well in agility class! Work was boring though I was content... there should be a work mood and home mood here
3/18/2021 9:40:43,darkwingduckie7,3/17/2021,"-1, -2","down, depressed",got my f-ing period
3/18/2021 22:28:10,darkwingduckie7,3/18/2021,"-2, 2",in pain,"crappy, painful day on my period, I'm on painkillers sleeping it off"
3/20/2021 22:34:24,darkwingduckie7,3/19/2021,"-1, -1","sad-ish, a bit down",periods suck
3/20/2021 22:35:40,darkwingduckie7,3/20/2021,"2, 3",elated,"good day, puppy class, then dog park, got some exercise, and period is over!!"
3/22/2021 10:02:39,darkwingduckie7,3/21/2021,"3, 3",elated,"good day spent outdoors, headphones in and the dog by my side"
3/22/2021 23:34:23,darkwingduckie7,3/22/2021,"3, 2",happy,
3/24/2021 8:58:52,darkwingduckie7,3/23/2021,"3, 2","happy, content",in general feeling good
3/24/2021 22:22:28,darkwingduckie7,3/24/2021,"2, 2","happy, content",
